Key,P/E Ratio
Reliance Industries Limited,27.472559
Tata Consultancy Services Limited,31.367704
HDFC Bank Limited,15.330371
ICICI Bank Limited,17.22073
Infosys Limited,28.104649
Hindustan Unilever Limited,56.320587
Bharti Airtel Limited,87.81083
ITC Limited,26.956785
State Bank of India,8.475985
Life Insurance Corporation Of India,15.938085
Larsen & Toubro Limited,37.271034
Bajaj Finance Limited,29.774372
HCL Technologies Limited,27.271784
Kotak Mahindra Bank Limited,20.805273
Axis Bank Limited,25.133287
Asian Paints Limited,51.582146
Titan Company Limited,97.12048
Adani Enterprises Limited,147.56668
Maruti Suzuki India Limited,28.279634
UltraTech Cement Limited,44.56256
Sun Pharmaceutical Industries Limited,37.88886
NTPC Limited,17.339796
Bajaj Finserv Limited,33.566105
Avenue Supermarts Limited,101.41678
Tata Motors Limited,22.128464
Oil & Natural Gas Corporation Limited,7.2348814
Nestle India Limited,80.07139
Adani Green Energy Limited,195.7638
Wipro Limited,22.005136
Coal India Limited,8.932572
Adani Ports and Special Economic Zone Limited,41.528107
Power Grid Corporation of India Limited,15.793225
JSW Steel Limited,17.424475
Adani Power Limited,11.206314
Bajaj Auto Limited,29.280771
Hindustan Aeronautics Limited,33.202816
LTIMindtree Limited,34.668797
Indian Oil Corporation Limited,4.400529
DLF Limited,83.07892
Varun Beverages Limited,83.626305
Jio Financial Services Limited,5048.0
SBI Life Insurance Company Limited,76.86427
Siemens Limited,74.53513
Grasim Industries Limited,21.182209
HDFC Life Insurance Company Limited,82.80676
Hindalco Industries Limited,15.100449
Pidilite Industries Limited,74.51618
Bharat Electronics Limited,37.50511
Hindustan Zinc Limited,16.128622
Indian Railway Finance Corporation Limited,36.61638
Britannia Industries Limited,48.788025
Power Finance Corporation Limited,8.19544
IndusInd Bank Limited,13.818255
Tech Mahindra Limited,41.35161
Bank of Baroda,7.1916265
Adani Energy Solutions Limited,102.07456
Godrej Consumer Products Limited,73.32262
InterGlobe Aviation Limited,21.04736
Eicher Motors Limited,30.12792
REC Limited,9.932677
Adani Total Gas Limited,183.5649
Trent Limited,176.29546
GAIL (India) Limited,14.156479
Tata Power Company Limited,34.874443
Cholamandalam Investment and Finance Company Limited,29.572573
Punjab National Bank,17.150072
Divi's Laboratories Limited,72.68642
Ambuja Cements Limited,62.64412
SHREE CEMENT LIMITED,47.569675
TATA CONSUMER PRODUCTS LIMITED,82.156364
Cipla Limited,30.21228
ABB India Limited,79.76925
Dabur India Limited,56.227184
Macrotech Developers Limited,63.409225
Bharat Petroleum Corporation Limited,3.7416294
Dr. Reddy's Laboratories Limited,19.123005
TVS Motor Company Limited,57.967754
Vedanta Limited,21.309523
Union Bank of India,7.662957
Havells India Limited,69.55556
Bajaj Holdings & Investment Limited,15.726973
Hero MotoCorp Limited,28.274567
Polycab India Limited,38.650745
Apollo Hospitals Enterprise Limited,130.23924
Indian Overseas Bank,38.272057
United Spirits Limited,60.439285
Mankind Pharma Limited,69.24704
Canara Bank,6.2043796
Torrent Pharmaceuticals Limited,63.22345
Shriram Finance Limited,13.610401
ICICI Prudential Life Insurance Company Limited,81.37224
Jindal Steel & Power Limited,8.004852
SRF Limited,46.39168
IDBI Bank Limited,17.570564
SBI Cards and Payment Services Limited,28.847244
Indian Railway Catering And Tourism Corporation Limited,72.48307
Marico Limited,47.224667
Berger Paints (I) Limited,63.754227
ICICI Lombard General Insurance Company Limited,40.56733
Zydus Lifesciences Limited,27.351458
CG Power and Industrial Solutions Limited,78.614456
Samvardhana Motherson International Limited,40.851063
Colgate Palmolive (India) Limited,54.13927
Tube Investments of India Limited,83.57696
HDFC Asset Management Company Limited,43.18149
Bharat Heavy Electricals Limited,1083.3334
JSW Energy Limited,49.214214
Max Healthcare Institute Limited,74.018425
Bosch Limited,32.8342
NHPC Limited,22.457003
Aurobindo Pharma Limited,27.060905
IDFC First Bank Limited,18.616072
The Indian Hotels Company Limited,63.978004
Alkem Laboratories Limited,40.486614
Yes Bank Limited,68.28571
NMDC Limited,11.264367
Solar Industries India Limited,71.16934
Lupin Limited,51.83904
Muthoot Finance Limited,13.721012
Supreme Industries Limited,48.081146
Bharat Forge Limited,85.80251
Patanjali Foods Limited,64.86369
Persistent Systems Limited,61.68302
Indian Bank,8.566874
Hindustan Petroleum Corporation Limited,3.906407
Procter & Gamble Hygiene and Health Care Limited,75.209175
Godrej Properties Limited,99.078674
L&T Technology Services Limited,46.288883
MRF Limited,35.689312
Tata Elxsi Limited,59.80199
Cummins India Limited,43.458805
General Insurance Corporation of India,9.760519
Indus Towers Limited,10.5644
PI Industries Limited,34.637997
Ashok Leyland Limited,24.00412
AU Small Finance Bank Limited,26.813766
Oberoi Realty Limited,29.397482
Container Corporation of India Limited,45.922234
Fertilizers and Chemicals Travancore Limited,106.56688
Suzlon Energy Limited,150.625
MphasiS Limited,30.694723
Bank of India,11.073876
Astral Limited,89.74822
Steel Authority of India Limited,15.294872
Tata Communications Limited,49.804207
Schaeffler India Limited,52.88687
Balkrishna Industries Limited,37.89269
FSN E-Commerce Ventures Limited,2331.4285
Linde India Limited,118.69561
UCO Bank,33.724136
Prestige Estates Projects Limited,29.03203
United Breweries Limited,188.22026
Jindal Stainless Limited,15.609621
Adani Wilmar Limited,548.2031
Mazagon Dock Shipbuilders Limited,33.985554
Torrent Power Limited,23.247124
UPL Limited,23.035635
JSW Infrastructure Limited,46.231422
Central Bank of India,21.192171
Aditya Birla Capital Limited,7.8259854
Page Industries Limited,80.64767
Dalmia Bharat Limited,38.921314
APL Apollo Tubes Limited,57.706882
3M India Limited,71.18999
ACC Limited,58.147556
KPIT Technologies Limited,76.80856
Gujarat Fluorochemicals Limited,43.847584
Oil India Limited,8.055197
The Phoenix Mills Limited,45.525856
UNO Minda Limited,57.556202
Dixon Technologies (India) Limited,117.370636
Sundaram Finance Limited,25.78674
Bandhan Bank Limited,14.2997465
Coforge Limited,55.14614
The Federal Bank Limited,8.592745
Rail Vikas Nigam Limited,41.967556
Sona BLW Precision Forgings Limited,75.359276
Jubilant Foodworks Limited,140.19553
Coromandel International Limited,18.239904
Thermax Limited,70.92265
Oracle Financial Services Software Limited,26.207645
Kalyan Jewellers India Limited,69.449066
SJVN Limited,48.869736
NLC India Limited,18.9252
AIA Engineering Limited,33.778397
